date;listings_count
02/01/2020;1
08/01/2020;9
13/01/2020;10
23/01/2020;50
24/01/2020;2
28/01/2020;11
30/01/2020;8
07/02/2020;1
16/02/2020;36
21/02/2020;4
02/03/2020;4
16/03/2020;1
28/03/2020;1
16/04/2020;5
29/04/2020;1
06/05/2020;4
17/05/2020;3
27/05/2020;2
29/05/2020;1
31/05/2020;13
01/06/2020;6
02/06/2020;12
03/06/2020;4
04/06/2020;26
06/06/2020;3
22/06/2020;11
19/07/2020;4
20/07/2020;2
26/07/2020;8
27/07/2020;14
29/07/2020;4
01/08/2020;4
02/08/2020;17
03/08/2020;22
05/08/2020;2
06/08/2020;39
09/08/2020;17
12/08/2020;23
15/08/2020;4
21/08/2020;7
30/08/2020;1
04/09/2020;24
07/09/2020;7
12/09/2020;25
14/09/2020;9
20/09/2020;1
28/09/2020;3
06/10/2020;10
07/10/2020;9
14/10/2020;20
15/10/2020;1
24/10/2020;5
25/10/2020;3
27/10/2020;6
31/10/2020;28
01/11/2020;25
06/11/2020;4
07/11/2020;2
15/11/2020;4
17/11/2020;11
19/11/2020;24
25/11/2020;4
03/12/2020;4
04/12/2020;26
07/12/2020;2136
09/12/2020;36
10/12/2020;16
11/12/2020;15
12/12/2020;50
14/12/2020;14
07/01/2021;3
13/01/2021;2
20/01/2021;179
25/01/2021;31
04/02/2021;50
12/02/2021;189
15/02/2021;50
19/02/2021;20
22/02/2021;50
24/02/2021;7
25/02/2021;50
09/03/2021;512